CODIGO_WMO,ESTACAO,UF,REGIAO,latitude,longitude,altitude,DATA_FUNDACAO,periodo_valido_inicio,periodo_valido_fim,total_horas_validas,n_observado,n_imputado,n_nan_residual,pct_imputado,foi_segmentada_tier_c,status_final,motivo_exclusao_final,qualidade_geral
A765,BERTIOGA,SP,SE,-23.84472221,-46.14333333,5.0,01/02/17,,,,,,,,,,,excluida
A516,PASSOS,MG,SE,-20.745237,-46.633916,781.7,16/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129345.0,2151.0,10139.0,1.635791202774229,False,incluida,,alta
A529,PASSA QUATRO,MG,SE,-22.395799,-44.961909,1017.1,30/05/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,129923.0,1573.0,5671.0,1.19623410598041,False,incluida,,alta
A549,AGUAS VERMELHAS,MG,SE,-15.751536,-41.457787,754.07,09/09/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,128130.0,3366.0,5110.0,2.5597736813287097,False,incluida,,alta
A552,SALINAS,MG,SE,-16.16027777,-42.31027777,487.14,14/09/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127093.0,4403.0,2205.0,3.3483908255764434,False,incluida,,alta
A733,JALES,SP,SE,-20.165,-50.59499999,460.44,22/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,117315.0,14181.0,2851.0,10.784358459572914,False,incluida,,media
A753,ITUVERAVA,SP,SE,-20.35972222,-47.77527777,610.58,17/07/08,2013-07-01 00:00:00,2019-11-01 05:00:00,55542.0,54449.0,1093.0,0.0,1.967880162759713,True,incluida,,"boa_com_ressalva (serie segmentada, periodo reduzido)"
A520,CONCEICAO DAS ALAGOAS,MG,SE,-19.98586,-48.151574,572.54,18/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131230.0,266.0,9757.0,0.2022875220539027,False,incluida,,alta
A531,MARIA DA FE,MG,SE,-22.314567,-45.373049,1281.43,01/12/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,131231.0,265.0,0.0,0.2015270426476851,False,incluida,,alta
A544,BURITIS,MG,SE,-15.52416666,-46.43555555,894.0,19/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,125887.0,5609.0,19395.0,4.265528989474965,False,incluida,,alta
A546,GUARDA-MOR,MG,SE,-17.56138888,-47.19916666,997.01,11/07/07,,,,,,,,,excluida_cronica,instabilidade cronica (17 obstaculos longo/extremo),excluida
A547,SAO ROMAO,MG,SE,-16.36277777,-45.12388888,490.29,30/06/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130726.0,770.0,7978.0,0.5855691427876133,False,incluida,,alta
A515,VARGINHA,MG,SE,-21.56638888,-45.40416666,949.78,13/07/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130866.0,630.0,7519.0,0.4791020259171382,False,incluida,,alta
A528,TRES MARIAS,MG,SE,-18.200855,-45.459836,931.01,25/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130522.0,974.0,2153.0,0.7407069416560199,False,incluida,,alta
A563,NOVA PORTEIRINHA (JANAUBA),MG,SE,-15.80277777,-43.29694444,532.0,19/11/16,2016-11-19 00:00:00,2022-12-31 23:00:00,53616.0,48400.0,5216.0,120.0,9.728439271859148,False,incluida,,media
A571,PARACATU,MG,SE,-17.24444444,-46.88166666,705.0,16/03/18,2018-03-16 00:00:00,2022-12-31 23:00:00,42048.0,41020.0,1028.0,4820.0,2.4448249619482496,False,incluida,,alta
A612,VITORIA,ES,SE,-20.27083332,-40.30583333,9.0,31/10/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127659.0,3837.0,2031.0,2.9179594816572365,False,incluida,,alta
A613,SANTA TERESA,ES,SE,-19.988388,-40.579572,975.92,09/08/07,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127316.0,4180.0,11493.0,3.178803917989901,False,incluida,,alta
A630,SANTA MARIA MADALENA,RJ,SE,-21.95055555,-42.01027777,517.0,16/10/18,2018-10-16 00:00:00,2022-12-31 23:00:00,36912.0,35417.0,1495.0,1348.0,4.050173385348938,False,incluida,,alta
A635,ITATIAIA,RJ,SE,-22.37388888,-44.70305555,2450.0,01/09/17,2017-09-01 00:00:00,2021-12-31 23:00:00,37992.0,37696.0,296.0,1409.0,0.7791113918719731,False,incluida,,alta
A527,TEOFILO OTONI,MG,SE,-17.89284,-41.515423,467.17,25/08/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,127423.0,4073.0,8716.0,3.097432621524609,False,incluida,,alta
A556,MANHUACU,MG,SE,-20.26333333,-42.18277777,819.47,25/09/10,2010-09-25 00:00:00,2022-12-31 23:00:00,107544.0,104422.0,3122.0,13791.0,2.902997842743435,False,incluida,,alta
A557,CORONEL PACHECO,MG,SE,-21.54666666,-43.26111111,411.14,17/10/12,2012-10-17 00:00:00,2022-12-31 23:00:00,89472.0,88834.0,638.0,3551.0,0.7130722460658083,False,incluida,,alta
A615,ALFREDO CHAVES,ES,SE,-20.63638888,-40.74194444,14.19,03/11/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130028.0,1468.0,15199.0,1.1163837683275537,False,incluida,,alta
A657,AFONSO CLAUDIO,ES,SE,-20.10416666,-41.10694444,507.48,24/09/11,2011-09-24 00:00:00,2022-12-31 23:00:00,98808.0,96209.0,2599.0,10560.0,2.6303538175046555,False,incluida,,alta
A708,FRANCA,SP,SE,-20.58444444,-47.38249999,1002.74,12/12/02,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,130760.0,736.0,16475.0,0.5597128429762122,False,incluida,,alta
A718,RANCHARIA,SP,SE,-22.37277777,-50.97472221,398.75,01/09/06,2008-01-01 00:00:00,2022-12-31 23:00:00,131496.0,123792.0,7704.0,13366.0,5.858733345501004,False,incluida,,media
