CODIGO_WMO,status,out_path,total,n_orig_missing,n_imputed,n_remaining_na
A744,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A744.parquet,44089.0,33580.0,33580.0,0.0
A746,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A746.parquet,127057.0,33580.0,33580.0,0.0
A747,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A747.parquet,128785.0,33580.0,33580.0,0.0
A748,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A748.parquet,109873.0,33580.0,33580.0,0.0
A753,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A753.parquet,126721.0,33580.0,33580.0,0.0
A755,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A755.parquet,103081.0,33580.0,33580.0,0.0
A762,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A762.parquet,53977.0,33580.0,33580.0,0.0
A763,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A763.parquet,49345.0,33580.0,33580.0,0.0
A764,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A764.parquet,45385.0,25185.0,25185.0,0.0
A765,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A765.parquet,51817.0,33580.0,33580.0,0.0
A766,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A766.parquet,51625.0,33580.0,33580.0,0.0
A768,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A768.parquet,49417.0,33580.0,33580.0,0.0
A769,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A769.parquet,45553.0,33580.0,33580.0,0.0
A770,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A770.parquet,30649.0,29371.0,29371.0,0.0
A771,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_A771.parquet,42073.0,33580.0,33580.0,0.0
C891,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_C891.parquet,8761.0,8395.0,8395.0,0.0
F501,ok,/content/drive/MyDrive/TCC/imputed_by_station/chuvas_F501.parquet,78985.0,33580.0,33580.0,0.0
