CODIGO_WMO,status,total,n_orig_missing,n_imputed,n_remaining_na,n_horas_longo_extremo_nao_imputadas,pct_imputed,pct_remaining_na,checagem_consistente,out_path
A524,ok,131496,5168,1067,4101,4101,0.8114315264342642,3.118726044898704,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A524.parquet
A525,ok,131496,9833,3866,5967,5967,2.9400133844375493,4.5377806169008945,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A525.parquet
A526,ok,131496,14907,3249,11658,11658,2.470797590801241,8.865668917685708,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A526.parquet
A527,ok,131496,12789,4073,8716,8716,3.097432621524609,6.628338504593295,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A527.parquet
A528,ok,131496,3127,974,2153,2153,0.7407069416560199,1.6373121615866641,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A528.parquet
A529,ok,131496,7244,1573,5671,5671,1.19623410598041,4.312678712660461,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A529.parquet
A530,ok,131496,4542,1049,3493,3493,0.7977428971223459,2.6563545659183547,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A530.parquet
A531,ok,131496,265,265,0,0,0.2015270426476851,0.0,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A531.parquet
A532,ok,131496,8100,2723,5377,5377,2.0707854231307414,4.089097767232463,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A532.parquet
A533,ok,131496,3928,1597,2331,2331,1.2144856117296343,1.7726774958934113,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A533.parquet
A534,ok,131496,21049,2786,18263,18263,2.1186956257224554,13.888635395753482,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A534.parquet
A535,ok,127224,4060,938,3122,3122,0.7372822737848205,2.45393950826888,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A535.parquet
A536,ok,131496,6389,2487,3902,3902,1.8913122832633693,2.967390643061386,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A536.parquet
A537,ok,131496,2296,2219,77,77,1.687503802397031,0.05855691427876133,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A537.parquet
A538,ok,131496,5603,4450,1153,1153,3.3841333576686745,0.8768327553689846,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A538.parquet
A539,ok,131496,5049,1404,3645,3645,1.0677130863296223,2.771947435663442,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A539.parquet
A540,ok,131496,6617,2277,4340,4340,1.7316116079576565,3.3004806229847294,True,/content/drive/MyDrive/TCC/imputed_by_station_v2/chuvas_A540.parquet
