protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-A-3157500-12200-20090123,Santa Efigênia de Minas,MG,2009-01-23,12200,3157500,Sudeste,Enxurradas,Hidrológico,1
MG-D-3157500-12100-20110105,Santa Efigênia de Minas,MG,2011-01-05,12100,3157500,Sudeste,Inundações,Hidrológico,1
MG-A-3157500-12200-20120112,Santa Efigênia de Minas,MG,2012-01-12,12200,3157500,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157500-12100-20131218,Santa Efigênia de Minas,MG,2013-12-18,12100,3157500,Sudeste,Inundações,Hidrológico,1
MG-A-3157609-12200-20090105,Santa Fé de Minas,MG,2009-01-05,12200,3157609,Sudeste,Enxurradas,Hidrológico,1
MG-A-3157609-12200-20110315,Santa Fé de Minas,MG,2011-03-15,12200,3157609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157609-12200-20130204,Santa Fé de Minas,MG,2013-02-04,12200,3157609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157609-12200-20130220,Santa Fé de Minas,MG,2013-03-05,12200,3157609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157609-12200-20140306,Santa Fé de Minas,MG,2014-03-07,12200,3157609,Sudeste,Enxurradas,Hidrológico,1
MG-F-3157609-12100-20220111,Santa Fé de Minas,MG,2022-01-11,12100,3157609,Sudeste,Inundações,Hidrológico,1
MG-A-3157658-12100-20111231,Santa Helena de Minas,MG,2011-12-31,12100,3157658,Sudeste,Inundações,Hidrológico,1
MG-P-3157658-12100-20120106,Santa Helena de Minas,MG,2012-01-06,12100,3157658,Sudeste,Inundações,Hidrológico,1
MG-F-3157658-12300-20170328,Santa Helena de Minas,MG,2017-03-28,12300,3157658,Sudeste,Alagamentos,Hidrológico,1
MG-F-3157807-12300-20210207,Santa Luzia,MG,2021-02-11,12300,3157807,Sudeste,Alagamentos,Hidrológico,1
MG-A-3158003-12300-20090106,Santa Maria de Itabira,MG,2009-01-06,12300,3158003,Sudeste,Alagamentos,Hidrológico,1
MG-F-3158201-12200-20211208,Santa Maria do Suaçuí,MG,2021-12-15,12200,3158201,Sudeste,Enxurradas,Hidrológico,1
MG-F-3158201-12200-20221220,Santa Maria do Suaçuí,MG,2022-12-20,12200,3158201,Sudeste,Enxurradas,Hidrológico,1
MG-A-3158409-12200-20090103,Santana de Cataguases,MG,2009-01-03,12200,3158409,Sudeste,Enxurradas,Hidrológico,1
MG-A-3158508-12100-20120106,Santana de Pirapama,MG,2012-01-06,12100,3158508,Sudeste,Inundações,Hidrológico,1
MG-F-3158508-12100-20160122,Santana de Pirapama,MG,2016-01-22,12100,3158508,Sudeste,Inundações,Hidrológico,1
MG-J-3158607-12200-20110111,Santana do Deserto,MG,2011-01-11,12200,3158607,Sudeste,Enxurradas,Hidrológico,1
MG-A-3158805-12100-20081223,Santana do Jacaré,MG,2008-12-23,12100,3158805,Sudeste,Inundações,Hidrológico,1
MG-F-3158805-12300-20200125,Santana do Jacaré,MG,2020-01-27,12300,3158805,Sudeste,Alagamentos,Hidrológico,1
MG-F-3158805-12300-20200204,Santana do Jacaré,MG,2020-02-05,12300,3158805,Sudeste,Alagamentos,Hidrológico,1
MG-F-3158805-12100-20200213,Santana do Jacaré,MG,2020-02-19,12100,3158805,Sudeste,Inundações,Hidrológico,1
MG-A-3158904-12100-20090106,Santana do Manhuaçu,MG,2009-01-06,12100,3158904,Sudeste,Inundações,Hidrológico,1
MG-P-3158904-12200-20101123,Santana do Manhuaçu,MG,2010-11-23,12200,3158904,Sudeste,Enxurradas,Hidrológico,1
MG-F-3158953-12100-20210216,Santana do Paraíso,MG,2021-02-24,12100,3158953,Sudeste,Inundações,Hidrológico,1
MG-F-3159001-12200-20130206,Santana do Riacho,MG,2013-02-08,12200,3159001,Sudeste,Enxurradas,Hidrológico,1
MG-F-3159001-12100-20131227,Santana do Riacho,MG,2013-12-30,12100,3159001,Sudeste,Inundações,Hidrológico,1
MG-F-3159001-12200-20220117,Santana do Riacho,MG,2022-01-17,12200,3159001,Sudeste,Enxurradas,Hidrológico,1
