protocolo,municipio,uf,data,cobrade,ibge,regiao,descricao_tipologia,grupo_de_desastre,evento
MG-A-3168606-12100-20081116,Teófilo Otoni,MG,2008-11-16,12100,3168606,Sudeste,Inundações,Hidrológico,1
MG-F-3168705-12200-20210212,Timóteo,MG,2021-02-12,12200,3168705,Sudeste,Enxurradas,Hidrológico,1
MG-F-3168705-12200-20210309,Timóteo,MG,2021-03-10,12200,3168705,Sudeste,Enxurradas,Hidrológico,1
MG-F-3168705-12200-20210311,Timóteo,MG,2021-03-12,12200,3168705,Sudeste,Enxurradas,Hidrológico,1
MG-F-3168705-12300-20211130,Timóteo,MG,2021-12-03,12300,3168705,Sudeste,Alagamentos,Hidrológico,1
MG-F-3168705-12300-20220109,Timóteo,MG,2022-01-09,12300,3168705,Sudeste,Alagamentos,Hidrológico,1
MG-F-3170107-12200-20150330,Uberaba,MG,2015-04-07,12200,3170107,Sudeste,Enxurradas,Hidrológico,1
MG-F-3170107-12200-20200206,Uberaba,MG,2020-05-05,12200,3170107,Sudeste,Enxurradas,Hidrológico,1
MG-A-3171303-12200-20111228,Viçosa,MG,2011-12-28,12200,3171303,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200102-12200-20090105,Afonso Cláudio,ES,2009-01-05,12200,3200102,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200102-12200-20091206,Afonso Cláudio,ES,2009-12-06,12200,3200102,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200102-12200-20101229,Afonso Cláudio,ES,2010-12-29,12200,3200102,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200201-12200-20081216,Alegre,ES,2008-12-16,12200,3200201,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200201-12200-20090126,Alegre,ES,2009-01-26,12200,3200201,Sudeste,Enxurradas,Hidrológico,1
ES-N-3200201-12200-20101124,Alegre,ES,2010-11-24,12200,3200201,Sudeste,Enxurradas,Hidrológico,1
ES-A-3200201-12200-20110308,Alegre,ES,2011-03-08,12200,3200201,Sudeste,Enxurradas,Hidrológico,1
ES-F-3200201-12200-20130205,Alegre,ES,2013-02-15,12200,3200201,Sudeste,Enxurradas,Hidrológico,1
ES-N-3200300-12200-20090826,Alfredo Chaves,ES,2009-08-26,12200,3200300,Sudeste,Enxurradas,Hidrológico,1
ES-N-3200300-12200-20100305,Alfredo Chaves,ES,2010-03-05,12200,3200300,Sudeste,Enxurradas,Hidrológico,1
ES-J-3200300-12100-20120109,Alfredo Chaves,ES,2012-01-09,12100,3200300,Sudeste,Inundações,Hidrológico,1
ES-F-3200300-12200-20180317,Alfredo Chaves,ES,2018-03-17,12200,3200300,Sudeste,Enxurradas,Hidrológico,1
ES-F-3200300-12200-20180416,Alfredo Chaves,ES,2018-04-16,12200,3200300,Sudeste,Enxurradas,Hidrológico,1
ES-F-3200300-12100-20180509,Alfredo Chaves,ES,2018-05-09,12100,3200300,Sudeste,Inundações,Hidrológico,1
ES-F-3200300-12300-20181108,Alfredo Chaves,ES,2018-11-08,12300,3200300,Sudeste,Alagamentos,Hidrológico,1
ES-F-3200300-12100-20191113,Alfredo Chaves,ES,2019-11-13,12100,3200300,Sudeste,Inundações,Hidrológico,1
ES-F-3200300-12100-20200117,Alfredo Chaves,ES,2020-01-21,12100,3200300,Sudeste,Inundações,Hidrológico,1
ES-F-3200300-12100-20200301,Alfredo Chaves,ES,2020-03-09,12100,3200300,Sudeste,Inundações,Hidrológico,1
ES-F-3200300-12200-20211130,Alfredo Chaves,ES,2021-12-01,12200,3200300,Sudeste,Enxurradas,Hidrológico,1
ES-A-3202108-12200-20090122,Ecoporanga,ES,2009-01-22,12200,3202108,Sudeste,Enxurradas,Hidrológico,1
ES-A-3202108-12200-20091102,Ecoporanga,ES,2009-11-02,12200,3202108,Sudeste,Enxurradas,Hidrológico,1
ES-F-3202108-12300-20131217,Ecoporanga,ES,2013-12-20,12300,3202108,Sudeste,Alagamentos,Hidrológico,1
ES-A-3203205-12200-20090105,Linhares,ES,2009-01-05,12200,3203205,Sudeste,Enxurradas,Hidrológico,1
ES-J-3203205-12200-20110312,Linhares,ES,2011-03-12,12200,3203205,Sudeste,Enxurradas,Hidrológico,1
ES-A-3203205-12200-20120108,Linhares,ES,2012-01-08,12200,3203205,Sudeste,Enxurradas,Hidrológico,1
ES-F-3203205-12300-20120325,Linhares,ES,2013-03-26,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12300-20131219,Linhares,ES,2013-12-19,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12100-20200127,Linhares,ES,2020-02-04,12100,3203205,Sudeste,Inundações,Hidrológico,1
ES-F-3203205-12100-20210222,Linhares,ES,2021-02-24,12100,3203205,Sudeste,Inundações,Hidrológico,1
ES-F-3203205-12300-20210308,Linhares,ES,2021-03-11,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12300-20211128,Linhares,ES,2021-12-15,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12300-20211218,Linhares,ES,2021-12-22,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12100-20220110,Linhares,ES,2022-01-10,12100,3203205,Sudeste,Inundações,Hidrológico,1
ES-F-3203205-12100-20220210,Linhares,ES,2022-02-10,12100,3203205,Sudeste,Inundações,Hidrológico,1
ES-F-3203205-12300-20221125,Linhares,ES,2022-11-25,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203205-12300-20221126,Linhares,ES,2022-11-26,12300,3203205,Sudeste,Alagamentos,Hidrológico,1
ES-P-3203353-12200-20131223,Marilândia,ES,2014-01-07,12200,3203353,Sudeste,Enxurradas,Hidrológico,1
ES-F-3203353-12200-20220108,Marilândia,ES,2022-01-08,12200,3203353,Sudeste,Enxurradas,Hidrológico,1
ES-A-3203908-12200-20080226,Nova Venécia,ES,2008-02-26,12200,3203908,Sudeste,Enxurradas,Hidrológico,1
ES-A-3203908-12200-20091030,Nova Venécia,ES,2009-10-30,12200,3203908,Sudeste,Enxurradas,Hidrológico,1
ES-J-3203908-12100-20120104,Nova Venécia,ES,2012-01-04,12100,3203908,Sudeste,Inundações,Hidrológico,1
ES-F-3203908-12100-20131219,Nova Venécia,ES,2013-12-30,12100,3203908,Sudeste,Inundações,Hidrológico,1
ES-F-3203908-12300-20171208,Nova Venécia,ES,2017-12-08,12300,3203908,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203908-12300-20180308,Nova Venécia,ES,2018-03-08,12300,3203908,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203908-12300-20181019,Nova Venécia,ES,2018-10-19,12300,3203908,Sudeste,Alagamentos,Hidrológico,1
ES-F-3203908-12200-20190217,Nova Venécia,ES,2019-02-17,12200,3203908,Sudeste,Enxurradas,Hidrológico,1
ES-F-3203908-12100-20220215,Nova Venécia,ES,2022-02-15,12100,3203908,Sudeste,Inundações,Hidrológico,1
ES-F-3203908-12100-20221219,Nova Venécia,ES,2022-12-19,12100,3203908,Sudeste,Inundações,Hidrológico,1
ES-A-3204302-12200-20101209,Presidente Kennedy,ES,2010-12-09,12200,3204302,Sudeste,Enxurradas,Hidrológico,1
ES-F-3204302-12200-20131225,Presidente Kennedy,ES,2013-12-30,12200,3204302,Sudeste,Enxurradas,Hidrológico,1
ES-A-3204500-12200-20081124,Santa Leopoldina,ES,2008-11-24,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-A-3204500-12200-20091031,Santa Leopoldina,ES,2009-10-31,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-P-3204500-12200-20101230,Santa Leopoldina,ES,2010-12-30,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-A-3204500-12200-20120110,Santa Leopoldina,ES,2012-01-10,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-J-3204500-12100-20120814,Santa Leopoldina,ES,2012-08-14,12100,3204500,Sudeste,Inundações,Hidrológico,1
ES-F-3204500-12200-20131221,Santa Leopoldina,ES,2013-12-30,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-F-3204500-12100-20180425,Santa Leopoldina,ES,2018-04-25,12100,3204500,Sudeste,Inundações,Hidrológico,1
ES-F-3204500-12200-20180509,Santa Leopoldina,ES,2018-05-09,12200,3204500,Sudeste,Enxurradas,Hidrológico,1
ES-F-3204500-12100-20221128,Santa Leopoldina,ES,2022-11-28,12100,3204500,Sudeste,Inundações,Hidrológico,1
ES-A-3204906-12100-20091102,São Mateus,ES,2009-11-02,12100,3204906,Sudeste,Inundações,Hidrológico,1
ES-F-3204906-12200-20131230,São Mateus,ES,2013-12-30,12200,3204906,Sudeste,Enxurradas,Hidrológico,1
ES-F-3204906-12100-20160125,São Mateus,ES,2016-01-25,12100,3204906,Sudeste,Inundações,Hidrológico,1
ES-F-3204906-12300-20180208,São Mateus,ES,2018-02-08,12300,3204906,Sudeste,Alagamentos,Hidrológico,1
ES-F-3204906-12300-20181104,São Mateus,ES,2018-11-04,12300,3204906,Sudeste,Alagamentos,Hidrológico,1
